"REF_DATE","GEO","DGUID","Offences","Age of accused","Sex of accused","Charge and case","Type of decision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017/2018","New Brunswick","2016A000213","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264364","5.4.2.1.2.1","73","","","","0"
"2018/2019","New Brunswick","2016A000213","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264364","5.4.2.1.2.1","93","","","","0"
"2019/2020","New Brunswick","2016A000213","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264364","5.4.2.1.2.1","89","","","","0"
"2020/2021","New Brunswick","2016A000213","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264364","5.4.2.1.2.1","59","","","","0"
"2021/2022","New Brunswick","2016A000213","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264364","5.4.2.1.2.1","52","","","","0"
"1999/2000","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","161","","","","0"
"2000/2001","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","162","","","","0"
"2001/2002","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","164","","","","0"
"2002/2003","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","138","","","","0"
"2003/2004","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","113","","","","0"
"2004/2005","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","139","","","","0"
"2005/2006","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","151","","","","0"
"2006/2007","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","143","","","","0"
"2007/2008","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","141","","","","0"
"2008/2009","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","146","","","","0"
"2009/2010","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","170","","","","0"
"2010/2011","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","143","","","","0"
"2011/2012","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","147","","","","0"
"2012/2013","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","143","","","","0"
"2013/2014","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","121","","","","0"
"2014/2015","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","89","","","","0"
"2015/2016","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","113","","","","0"
"2016/2017","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","81","","","","0"
"2017/2018","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","92","","","","0"
"2018/2019","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","89","","","","0"
"2019/2020","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","95","","","","0"
"2020/2021","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","67","","","","0"
"2021/2022","New Brunswick","2016A000213","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60264484","5.4.3.1.2.1","56","","","","0"
"1999/2000","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","423","","","","0"
"2000/2001","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","404","","","","0"
"2001/2002","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","335","","","","0"
"2002/2003","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","280","","","","0"
"2003/2004","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","208","","","","0"
"2004/2005","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","234","","","","0"
"2005/2006","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","199","","","","0"
"2006/2007","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","210","","","","0"
"2007/2008","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","241","","","","0"
"2008/2009","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","206","","","","0"
"2009/2010","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","231","","","","0"
"2010/2011","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","233","","","","0"
"2011/2012","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","166","","","","0"
"2012/2013","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","140","","","","0"
"2013/2014","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","116","","","","0"
"2014/2015","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","97","","","","0"
"2015/2016","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","84","","","","0"
"2016/2017","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","58","","","","0"
"2017/2018","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","59","","","","0"
"2018/2019","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","47","","","","0"
"2019/2020","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","45","","","","0"
"2020/2021","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","45","","","","0"
"2021/2022","New Brunswick","2016A000213","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271624","5.15.2.1.2.1","32","","","","0"
"1999/2000","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","472","","","","0"
"2000/2001","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","409","","","","0"
"2001/2002","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","410","","","","0"
"2002/2003","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","338","","","","0"
"2003/2004","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","296","","","","0"
"2004/2005","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","289","","","","0"
"2005/2006","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","324","","","","0"
"2006/2007","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","250","","","","0"
"2007/2008","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","282","","","","0"
"2008/2009","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","299","","","","0"
"2009/2010","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","337","","","","0"
"2010/2011","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","292","","","","0"
"2011/2012","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","215","","","","0"
"2012/2013","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","185","","","","0"
"2013/2014","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","176","","","","0"
"2014/2015","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","180","","","","0"
"2015/2016","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","128","","","","0"
"2016/2017","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","110","","","","0"
"2017/2018","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","84","","","","0"
"2018/2019","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","102","","","","0"
"2019/2020","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","64","","","","0"
"2020/2021","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","44","","","","0"
"2021/2022","New Brunswick","2016A000213","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60271744","5.15.3.1.2.1","33","","","","0"
"1999/2000","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1291","","","","0"
"2000/2001","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1174","","","","0"
"2001/2002","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1272","","","","0"
"2002/2003","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1162","","","","0"
"2003/2004","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1120","","","","0"
"2004/2005","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1136","","","","0"
"2005/2006","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1304","","","","0"
"2006/2007","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1297","","","","0"
"2007/2008","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1353","","","","0"
"2008/2009","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1350","","","","0"
"2009/2010","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1319","","","","0"
"2010/2011","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1243","","","","0"
"2011/2012","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1248","","","","0"
"2012/2013","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1366","","","","0"
"2013/2014","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1496","","","","0"
"2014/2015","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1352","","","","0"
"2015/2016","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1294","","","","0"
"2016/2017","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1368","","","","0"
"2017/2018","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1445","","","","0"
"2018/2019","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1468","","","","0"
"2019/2020","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1426","","","","0"
"2020/2021","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","1137","","","","0"
"2021/2022","Quebec","2016A000224","Crimes against the person","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290764","6.4.2.1.2.1","0","","","","0"
"1999/2000","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1172","","","","0"
"2000/2001","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1095","","","","0"
"2001/2002","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1213","","","","0"
"2002/2003","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1040","","","","0"
"2003/2004","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1077","","","","0"
"2004/2005","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1083","","","","0"
"2005/2006","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1265","","","","0"
"2006/2007","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1219","","","","0"
"2007/2008","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1214","","","","0"
"2008/2009","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1316","","","","0"
"2009/2010","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1314","","","","0"
"2010/2011","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1317","","","","0"
"2011/2012","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1261","","","","0"
"2012/2013","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1369","","","","0"
"2013/2014","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1489","","","","0"
"2014/2015","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1264","","","","0"
"2015/2016","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1072","","","","0"
"2016/2017","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1189","","","","0"
"2017/2018","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1125","","","","0"
"2018/2019","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1134","","","","0"
"2019/2020","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","1089","","","","0"
"2020/2021","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","816","","","","0"
"2021/2022","Quebec","2016A000224","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60290884","6.4.3.1.2.1","0","","","","0"
"1999/2000","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","1270","","","","0"
"2000/2001","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","1122","","","","0"
"2001/2002","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","1193","","","","0"
"2002/2003","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","1073","","","","0"
"2003/2004","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","961","","","","0"
"2004/2005","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","923","","","","0"
"2005/2006","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","931","","","","0"
"2006/2007","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","848","","","","0"
"2007/2008","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","835","","","","0"
"2008/2009","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","972","","","","0"
"2009/2010","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","971","","","","0"
"2010/2011","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","895","","","","0"
"2011/2012","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","823","","","","0"
"2012/2013","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","891","","","","0"
"2013/2014","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","861","","","","0"
"2014/2015","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","633","","","","0"
"2015/2016","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","589","","","","0"
"2016/2017","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","632","","","","0"
"2017/2018","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","553","","","","0"
"2018/2019","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","463","","","","0"
"2019/2020","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","434","","","","0"
"2020/2021","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","301","","","","0"
"2021/2022","Quebec","2016A000224","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298024","6.15.2.1.2.1","0","","","","0"
"1999/2000","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","1902","","","","0"
"2000/2001","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","1632","","","","0"
"2001/2002","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","1694","","","","0"
"2002/2003","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","1458","","","","0"
"2003/2004","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","1365","","","","0"
"2004/2005","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","1208","","","","0"
"2005/2006","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","1293","","","","0"
"2006/2007","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","1228","","","","0"
"2007/2008","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","1209","","","","0"
"2008/2009","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","1310","","","","0"
"2009/2010","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","1499","","","","0"
"2010/2011","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","1489","","","","0"
"2011/2012","Quebec","2016A000224","Crimes against property","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60298144","6.15.3.1.2.1","1234","","","","0"
