"REF_DATE","GEO","DGUID","Offences","Age of accused","Sex of accused","Charge and case","Type of decision","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004/2005","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","119","","","","0"
"2005/2006","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","95","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","78","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","133","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","111","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","106","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","93","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","94","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","75","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","81","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","60","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","86","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","88","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","81","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","79","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","83","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","62","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Crimes against the person","16 and 17 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60185284","2.4.3.1.2.1","60","","","","0"
"1999/2000","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","361","","","","0"
"2000/2001","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","342","","","","0"
"2001/2002","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","377","","","","0"
"2002/2003","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","368","","","","0"
"2003/2004","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","263","","","","0"
"2004/2005","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","269","","","","0"
"2005/2006","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","164","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","170","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","175","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","156","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","124","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","114","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Crimes against property","12 to 15 years","Total, sex of accused","Total cases","Total decisions","Number","223","units","0","v60192424","2.15.2.1.2.1","126","","","","0"
